time,ice_free,new_young,thin_FY,medium_FY,thick_FY,multiyear
2023-11-12,638233.8725157242,4226.188920783385,0.0,0.0,0.0,0.0
2023-11-13,638233.8725157242,4226.188920783385,0.0,0.0,0.0,0.0
2023-11-14,637230.4172549464,5229.6441815611615,0.0,0.0,0.0,0.0
2023-11-15,637039.9835081971,5420.077928310457,0.0,0.0,0.0,0.0
2023-11-16,635099.5294840203,7360.531952487266,0.0,0.0,0.0,0.0
2023-11-17,634057.7214506522,8402.339985855422,0.0,0.0,0.0,0.0
2023-11-18,631996.2230070787,10463.838429428884,0.0,0.0,0.0,0.0
2023-11-19,630376.9895019955,12083.071934512089,0.0,0.0,0.0,0.0
2023-11-20,626862.0455120002,15598.015924507325,0.0,0.0,0.0,0.0
2023-11-21,625940.3702504014,15220.513877195383,1299.1773089107787,0.0,0.0,0.0
2023-11-22,625277.0705530236,14853.924175033146,2329.066708450845,0.0,0.0,0.0
2023-11-23,624885.912822918,13090.619721366027,4483.528892223524,0.0,0.0,0.0
2023-11-24,624523.544867344,10246.956505219525,7689.560063944089,0.0,0.0,0.0
2023-11-25,624387.5365554234,9679.272633429318,8393.252247654898,0.0,0.0,0.0
2023-11-26,624274.6912847655,9784.193949248052,8401.17620249396,0.0,0.0,0.0
2023-11-27,623076.4571896584,16580.06252544978,2803.541721399356,0.0,0.0,0.0
2023-11-28,621801.5777430751,10676.894125743736,9981.58956768877,0.0,0.0,0.0
2023-11-29,620673.3293101984,11657.032734649249,10129.699391659866,0.0,0.0,0.0
2023-11-30,618224.4785654655,12141.227872204232,12094.354998837738,0.0,0.0,0.0
2023-12-01,615830.7401942883,15725.93495088064,9233.476019224225,1669.9102721143354,0.0,0.0
2023-12-02,614347.2344791268,19102.50268896475,6635.177390017607,2375.1468783984997,0.0,0.0
2023-12-03,613988.0823461487,17116.833125692996,6964.035013322087,3150.0055877983186,1241.1053635455469,0.0
2023-12-04,613762.5453320354,19556.43024557784,5060.941903367106,2618.7523213534805,1461.3916341737663,0.0
2023-12-05,611742.3856564666,28266.429999149994,2451.2457808909603,0.0,0.0,0.0
2023-12-06,609968.3949171382,29207.934904635855,3283.73161473364,0.0,0.0,0.0
2023-12-07,605678.8292975499,20179.965212610125,14143.451345416712,2244.2878280951677,213.52775283572245,0.0
2023-12-08,592708.0362968263,26645.403452369195,18532.12565938969,3346.746425836489,1173.93125374097,53.81834834478491
2023-12-09,583319.2762547055,32329.083643015714,21744.116604943927,3571.7156299262783,1495.869303916091,0.0
2023-12-10,568966.7132825467,44010.47283337541,22748.642533536986,5122.22887015144,1612.0039168970607,0.0
2023-12-11,545203.157056263,64293.95984356296,24667.8013151058,5816.249922223992,2370.6766852380492,108.2166141138302
2023-12-12,522001.6255713566,91438.40072820622,26990.74659635112,1646.9605642236825,382.3279763699633,0.0
2023-12-13,494543.1921294867,132514.80199721002,15402.067309810838,0.0,0.0,0.0
2023-12-14,478035.04572375544,146554.08933607192,16655.301186748595,1215.6251899316258,0.0,0.0
2023-12-15,466630.0914687713,159665.9031516582,14451.349966155412,1712.7168499227312,0.0,0.0
2023-12-16,458300.5431431465,168046.70992898085,14676.12519238444,1436.6831719957859,0.0,0.0
2023-12-17,453280.8793557326,174283.74061251193,14895.441468263083,0.0,0.0,0.0
2023-12-18,448780.0072876386,174640.15602885693,19039.898120012094,0.0,0.0,0.0
2023-12-19,441922.56239967264,179080.626029589,20091.995169509333,646.151817384098,523.0344280390482,195.69159231348763
2023-12-20,431691.57550043403,167946.78862163136,40798.143305759055,711.4439610358161,1312.110047647367,0.0
2023-12-21,420462.4570780959,166985.24344455806,53062.969917504524,1034.4253927091347,914.9656036400075,0.0
2023-12-22,403041.0240371346,163417.72623355672,70465.16612854482,4040.7964471180926,1367.328690604003,0.0
2023-12-23,389682.3182098272,164403.09865860295,81646.82335962082,3552.627650071206,2084.087819570145,0.0
2023-12-24,380208.35255190573,166155.41303415137,87016.70614494484,3285.789145174052,5340.0502149862,453.75034534537065
2023-12-25,370983.2038502208,150437.01291697705,98804.72581773894,11584.691328354493,6037.038841738926,3588.3126168367144
2023-12-26,366817.39436124114,153429.09853090317,104312.48516787734,8235.303115342787,5170.102800390352,2315.675422507162
2023-12-27,363509.49302419566,172225.92346275545,99146.13049287928,3311.531413913666,2200.9036606907866,1300.3505134004054
2023-12-28,361960.19289869256,187794.82011089794,90296.37752294439,2215.5397594967203,64.37704815865236,0.0
2023-12-29,365219.4453808363,198679.8097702339,77039.02206976002,1521.7842156773286,0.0,0.0
2023-12-30,365191.0021126576,189323.987051239,87279.59297896408,665.4792936468602,0.0,0.0
2023-12-31,365837.90586845577,184974.31834309542,91425.62673780299,222.2104871533804,0.0,0.0
2024-01-01,366372.25656520674,183059.25828168643,91561.98034827605,1466.5662413383786,0.0,0.0
2024-01-02,367252.8208020979,179835.081191891,93865.72937026482,1506.4300722538892,0.0,0.0
2024-01-03,367197.185117004,180267.65401669842,94528.24657623566,195.50912698845485,0.0,271.4665995810218
2024-01-04,373282.3862080933,171982.33976104954,97128.953518944,66.38194842069589,0.0,0.0
2024-01-05,373432.7538376438,174266.52984606213,94303.74287772005,457.03487508161606,0.0,0.0
2024-01-06,375337.43535908044,173519.2071275838,93146.38407476175,457.03487508161606,0.0,0.0
2024-01-07,380367.2005035967,151503.8801332675,110588.98079964345,0.0,0.0,0.0
